teamname,wins,total_games,win_rate
Eintracht Frankfurt,60,216,0.2777777777777778
Eintracht Spandau,162,276,0.5869565217391305
Entropiq,336,480,0.7
Esport STUBA,78,138,0.5652173913043478
Estral Esports,216,348,0.6206896551724138
Eternal Fire,60,132,0.45454545454545453
Evil Geniuses,174,330,0.5272727272727272
Evil Geniuses Challengers,222,534,0.4157303370786517
Excel Esports,114,312,0.36538461538461536
FC Schalke 04 Esports,138,264,0.5227272727272727
FENNEL,228,444,0.5135135135135135
FENNEL Academy,72,132,0.5454545454545454
FLY FAM,30,228,0.13157894736842105
FURIA,138,282,0.48936170212765956
FURIA Academy,114,270,0.4222222222222222
FUT Esports,222,378,0.5873015873015873
Finetwork KOI,126,288,0.4375
Fluxo,138,264,0.5227272727272727
Fluxo Academy,114,246,0.4634146341463415
Fly5,12,84,0.14285714285714285
FlyQuest,150,288,0.5208333333333334
FlyQuest Challengers,348,558,0.6236559139784946
Fnatic,174,342,0.5087719298245614
Fnatic TQ,120,252,0.47619047619047616
For The Win Esports,132,246,0.5365853658536586
Fourth Wall,30,84,0.35714285714285715
Fox Gaming,78,168,0.4642857142857143
Frank Esports,246,414,0.5942028985507246
Fuego,252,330,0.7636363636363637
Fukuoka SoftBank HAWKS gaming,294,450,0.6533333333333333
Fukuoka Softbank HAWKS gaming Academy,132,162,0.8148148148148148
FunPlus Phoenix,174,456,0.3815789473684211
FunPlus Phoenix Blaze,360,648,0.5555555555555556
Furious Gaming,138,264,0.5227272727272727
G2 Esports,372,522,0.7126436781609196
GAM Esports,396,558,0.7096774193548387
GGEsports,12,84,0.14285714285714285
GLORE,228,354,0.6440677966101694
